DisplayName,PackageIdentifier,InstallAs,AssignmentType,AssignmentTarget
AV1 Video Extension,9MVZQVXJBQ9V,System,Required,AllDevices
Company Portal,9WZDNCRFJ3PZ,User,Required,AllUsers
Feedback Hub,9NBLGGH4R32N,User,,
HEIF Image Extensions,9PMMSR1CGPWG,System,Required,AllDevices
Intune Network Drive Mapping,9NWVZR414XS6,User,,
Mail and Calendar,9WZDNCRFHVQM,User,,
Microsoft 365 (Office),9WZDNCRD29V9,User,Available,AllUsers
Microsoft Accessory Center,9N013P0KR5VX,User,Available,AllUsers
Microsoft Journal,9N318R854RHH,User,Available,AllUsers
Microsoft Photos,9WZDNCRFJBH4,User,Available,AllUsers
Microsoft Sticky Notes,9NBLGGH4QGHW,User,Available,AllUsers
"Microsoft To Do: Lists, Tasks & Reminders",9NBLGGH5R558,User,Available,AllUsers
Microsoft Whiteboard,9MSPC6MP8FM4,User,Available,AllUsers
Movies & TV,9WZDNCRFJ3P2,User,Available,AllUsers
MPEG-2 Video Extension,9N95Q1ZZPMH4,System,Required,AllDevices
MSN Weather,9WZDNCRFJ3Q2,User,Available,AllUsers
OneDrive,9WZDNCRFJ1P3,User,Available,AllUsers
Phone Link,9NMPJ99VJBWV,User,Available,AllUsers
Power Automate,9NFTCH6J7FHV,User,Available,AllUsers
Power BI,9NBLGGGZLXN1,User,Available,AllUsers
Quick Assist,9P7BP5VNWKX5,System,Required,AllDevices
Raw Image Extension,9NCTDW2W1BH8,System,Required,AllDevices
Spotify - Music and Podcasts,9NCBCSZSJRSB,User,Available,AllUsers
VLC UWP,9NBLGGH4VVNH,User,Available,AllUsers
VP9 Video Extensions,9N4D0MSMP0PT,System,Required,AllDevices
Windows Clock,9WZDNCRFJ3PR,User,Available,AllUsers
Windows Media Player,9WZDNCRFJ3PT,User,Available,AllUsers
Windows Notepad,9MSMLRH6LZF3,User,Available,AllUsers
Windows Sound Recorder,9WZDNCRFHWKN,User,Available,AllUsers
Windows Terminal,9N0DX20HK701,User,Available,AllUsers
Xbox Game Bar,9NZKPSTSNW4P,User,,
